price,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,cylindernumber,enginetype,fuelsystem,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
9095,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,0,96.5,167.5,65.2,53.3,2289,110,3.15,3.58,9,86,5800,27,33
8845,gas,std,four,sedan,fwd,front,four,ohc,1bbl,0,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9,86,5800,27,33
10295,gas,std,four,sedan,fwd,front,four,ohc,1bbl,0,96.5,175.4,62.5,54.1,2372,110,3.15,3.58,9,86,5800,27,33
12945,gas,std,four,sedan,fwd,front,four,ohc,mpfi,0,96.5,175.4,65.2,54.1,2465,110,3.15,3.58,9,101,5800,24,28
10345,gas,std,two,sedan,fwd,front,four,ohc,2bbl,1,96.5,169.1,66,51,2293,110,3.15,3.58,9.1,100,5500,25,31
6785,gas,std,four,sedan,rwd,front,four,ohc,2bbl,0,94.3,170.7,61.8,53.5,2337,111,3.31,3.23,8.5,78,4800,24,29
8916.5,gas,std,two,sedan,fwd,front,four,ohc,2bbl,1,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43
8916.5,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,94.5,155.9,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43
11048,gas,std,two,hatchback,rwd,front,four,ohc,spfi,2,96,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29
32250,gas,std,four,sedan,rwd,front,six,dohc,mpfi,0,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19
35550,gas,std,four,sedan,rwd,front,six,dohc,mpfi,0,113,199.6,69.6,52.8,4066,258,3.63,4.17,8.1,176,4750,15,19
36000,gas,std,two,sedan,rwd,front,twelve,ohcv,mpfi,0,102,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17
5195,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9,68,5000,30,31
6095,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9,68,5000,31,38
6795,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9,68,5000,31,38
6695,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.1,166.8,64.2,54.1,1945,91,3.03,3.15,9,68,5000,31,38
7395,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.1,166.8,64.2,54.1,1950,91,3.08,3.15,9,68,5000,31,38
10945,gas,std,two,hatchback,rwd,front,two,rotor,4bbl,3,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23
11845,gas,std,two,hatchback,rwd,front,two,rotor,4bbl,3,95.3,169,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23
13645,gas,std,two,hatchback,rwd,front,two,rotor,4bbl,3,95.3,169,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23
15645,gas,std,two,hatchback,rwd,front,two,rotor,mpfi,3,95.3,169,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23
8845,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32
8495,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32
10595,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32
10245,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32
10795,diesel,std,four,sedan,fwd,front,four,ohc,idi,0,98.8,177.8,66.5,55.5,2443,122,3.39,3.39,22.7,64,4650,36,42
11245,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,0,98.8,177.8,66.5,55.5,2425,122,3.39,3.39,8.6,84,4800,26,32
18280,gas,std,four,sedan,rwd,front,four,ohc,mpfi,0,104.9,175,66.1,54.4,2670,140,3.76,3.16,8,120,5000,19,27
18344,diesel,std,four,sedan,rwd,front,four,ohc,idi,0,104.9,175,66.1,54.4,2700,134,3.43,3.64,22,72,4200,31,39
25552,diesel,turbo,four,sedan,rwd,front,five,ohc,idi,-1,110,190.9,70.3,56.5,3515,183,3.58,3.64,21.5,123,4350,22,25
28248,diesel,turbo,four,wagon,rwd,front,five,ohc,idi,-1,110,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25
28176,diesel,turbo,two,hardtop,rwd,front,five,ohc,idi,0,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25
31600,diesel,turbo,four,sedan,rwd,front,five,ohc,idi,-1,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25
34184,gas,std,four,sedan,rwd,front,eight,ohcv,mpfi,-1,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18
35056,gas,std,two,convertible,rwd,front,eight,ohcv,mpfi,3,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18
40960,gas,std,four,sedan,rwd,front,eight,ohcv,mpfi,0,120.9,208.1,71.7,56.7,3900,308,3.8,3.35,8,184,4500,14,16
45400,gas,std,two,hardtop,rwd,front,eight,ohcv,mpfi,1,112,199.2,72,55.4,3715,304,3.8,3.35,8,184,4500,14,16
16503,gas,turbo,two,hatchback,rwd,front,four,ohc,mpfi,1,102.7,178.4,68,54.8,2910,140,3.78,3.12,8,175,5000,19,24
5389,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,2,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41
6189,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,2,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38
6669,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,2,93.7,157.3,64.4,50.8,2004,92,2.97,3.23,9.4,68,5500,31,38
7689,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,1,93,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30
9959,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,3,96.3,173,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30
8499,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,3,96.3,173,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32
12629,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,3,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7,145,5000,19,24
14869,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,3,95.9,173.2,66.3,50.2,2921,156,3.59,3.86,7,145,5000,19,24
14489,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,3,95.9,173.2,66.3,50.2,2926,156,3.59,3.86,7,145,5000,19,24
6989,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32
8189,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32
9279,gas,turbo,four,sedan,fwd,front,four,ohc,spdi,1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30
9279,gas,std,four,sedan,fwd,front,four,ohc,spdi,-1,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30
5499,gas,std,two,sedan,fwd,front,four,ohc,2bbl,1,94.5,165.3,63.8,54.5,1889,97,3.15,3.29,9.4,69,5200,31,37
7099,diesel,std,two,sedan,fwd,front,four,ohc,idi,1,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50
6649,gas,std,two,sedan,fwd,front,four,ohc,2bbl,1,94.5,165.3,63.8,54.5,1918,97,3.15,3.29,9.4,69,5200,31,37
6849,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,94.5,165.3,63.8,54.5,1938,97,3.15,3.29,9.4,69,5200,31,37
7349,gas,std,four,wagon,fwd,front,four,ohc,2bbl,1,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37
7299,gas,std,two,sedan,fwd,front,four,ohc,2bbl,1,94.5,165.3,63.8,54.5,1951,97,3.15,3.29,9.4,69,5200,31,37
7799,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37
7499,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,94.5,165.3,63.8,54.5,1971,97,3.15,3.29,9.4,69,5200,31,37
7999,gas,std,four,wagon,fwd,front,four,ohc,2bbl,1,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37
8249,gas,std,two,hardtop,fwd,front,four,ohc,2bbl,2,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37
8949,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,0,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34
9549,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,97.2,173.4,65.2,54.7,2302,120,3.33,3.47,8.5,97,5200,27,34
13499,gas,std,four,sedan,fwd,front,six,ohcv,mpfi,0,100.4,181.7,66.5,55.1,3095,181,3.43,3.27,9,152,5200,17,22
14399,gas,std,four,wagon,fwd,front,six,ohcv,mpfi,0,100.4,184.6,66.5,56.1,3296,181,3.43,3.27,9,152,5200,17,22
13499,gas,std,four,sedan,fwd,front,six,ohcv,mpfi,0,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9,152,5200,19,25
17199,gas,std,two,hatchback,rwd,front,six,ohcv,mpfi,3,91.3,170.7,67.9,49.7,3071,181,3.43,3.27,9,160,5200,19,25
19699,gas,turbo,two,hatchback,rwd,front,six,ohcv,mpfi,3,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23
18399,gas,std,two,hatchback,rwd,front,six,ohcv,mpfi,1,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9,160,5200,19,25
11900,gas,std,four,sedan,rwd,front,four,l,mpfi,0,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24
13200,diesel,turbo,four,sedan,rwd,front,four,l,idi,0,107.9,186.7,68.4,56.7,3197,152,3.7,3.52,21,95,4150,28,33
12440,gas,std,four,wagon,rwd,front,four,l,mpfi,0,114.2,198.9,68.4,58.7,3230,120,3.46,3.19,8.4,97,5000,19,24
13860,diesel,turbo,four,wagon,rwd,front,four,l,idi,0,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21,95,4150,25,25
15580,gas,std,four,sedan,rwd,front,four,l,mpfi,0,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24
16900,diesel,turbo,four,sedan,rwd,front,four,l,idi,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33
16695,gas,std,four,wagon,rwd,front,four,l,mpfi,0,114.2,198.9,68.4,56.7,3285,120,3.46,2.19,8.4,95,5000,19,24
17075,diesel,turbo,four,wagon,rwd,front,four,l,idi,0,114.2,198.9,68.4,58.7,3485,152,3.7,3.52,21,95,4150,25,25
16630,gas,std,four,sedan,rwd,front,four,l,mpfi,0,107.9,186.7,68.4,56.7,3075,120,3.46,3.19,8.4,97,5000,19,24
17950,diesel,turbo,four,sedan,rwd,front,four,l,idi,0,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21,95,4150,28,33
18150,gas,turbo,four,sedan,rwd,front,four,l,mpfi,0,108,186.7,68.3,56,3130,134,3.61,3.21,7,142,5600,18,24
5572,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41
7957,gas,turbo,two,hatchback,fwd,front,four,ohc,spdi,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30
6229,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38
6692,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.7,167.3,63.8,50.8,1989,90,2.97,3.23,9.4,68,5500,31,38
7609,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.7,167.3,63.8,50.8,2191,98,2.97,3.23,9.4,68,5500,31,38
8921,gas,std,four,wagon,fwd,front,four,ohc,2bbl,-1,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30
12764,gas,turbo,two,hatchback,rwd,front,four,ohc,spdi,3,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7,145,5000,19,24
22018,gas,std,two,hatchback,rwd,front,four,ohc,mpfi,3,94.5,168.9,68.3,50.2,2778,151,3.94,3.11,9.5,143,5500,19,27
32528,gas,std,two,hardtop,rwd,rear,six,ohcf,mpfi,3,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25
34028,gas,std,two,hardtop,rwd,rear,six,ohcf,mpfi,3,89.5,168.9,65,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25
37028,gas,std,two,convertible,rwd,rear,six,ohcf,mpfi,3,89.5,168.9,65,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25
31400.5,gas,std,two,hatchback,rwd,front,eight,dohcv,mpfi,1,98.4,175.7,72.3,50.5,3366,203,3.94,3.11,10,288,5750,17,28
9295,gas,std,four,wagon,fwd,front,four,ohc,mpfi,0,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31
9895,gas,std,two,hatchback,fwd,front,four,ohc,mpfi,2,96.1,176.8,66.6,50.5,2460,132,3.46,3.9,8.7,90,5100,23,31
11850,gas,std,two,hatchback,fwd,front,four,ohc,mpfi,3,99.1,186.6,66.5,56.1,2658,121,3.54,3.07,9.31,110,5250,21,28
12170,gas,std,four,sedan,fwd,front,four,ohc,mpfi,2,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28
15040,gas,std,two,hatchback,fwd,front,four,ohc,mpfi,3,99.1,186.6,66.5,56.1,2707,121,2.54,2.07,9.3,110,5250,21,28
15510,gas,std,four,sedan,fwd,front,four,ohc,mpfi,2,99.1,186.6,66.5,56.1,2758,121,3.54,3.07,9.3,110,5250,21,28
18150,gas,turbo,two,hatchback,fwd,front,four,dohc,mpfi,3,99.1,186.6,66.5,56.1,2808,121,3.54,3.07,9,160,5500,19,26
18620,gas,turbo,four,sedan,fwd,front,four,dohc,mpfi,2,99.1,186.6,66.5,56.1,2847,121,3.54,3.07,9,160,5500,19,26
5118,gas,std,two,hatchback,fwd,front,four,ohcf,2bbl,2,93.7,156.9,63.4,53.7,2050,97,3.62,2.36,9,69,4900,31,36
7053,gas,std,two,hatchback,fwd,front,four,ohcf,2bbl,2,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31
7603,gas,std,two,hatchback,4wd,front,four,ohcf,2bbl,2,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31
7126,gas,std,four,sedan,fwd,front,four,ohcf,2bbl,0,97.2,172,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37
7775,gas,std,four,sedan,fwd,front,four,ohcf,2bbl,0,97.2,172,65.4,52.5,2190,108,3.62,2.64,9.5,82,4400,28,33
9960,gas,std,four,sedan,fwd,front,four,ohcf,mpfi,0,97.2,172,65.4,52.5,2340,108,3.62,2.64,9,94,5200,26,32
9233,gas,std,four,sedan,4wd,front,four,ohcf,2bbl,0,97,172,65.4,54.3,2385,108,3.62,2.64,9,82,4800,24,25
11259,gas,turbo,four,sedan,4wd,front,four,ohcf,mpfi,0,97,172,65.4,54.3,2510,108,3.62,2.64,7.7,111,4800,24,29
7463,gas,std,four,wagon,fwd,front,four,ohcf,2bbl,0,97,173.5,65.4,53,2290,108,3.62,2.64,9,82,4800,28,32
10198,gas,std,four,wagon,fwd,front,four,ohcf,mpfi,0,97,173.5,65.4,53,2455,108,3.62,2.64,9,94,5200,25,31
8013,gas,std,four,wagon,4wd,front,four,ohcf,2bbl,0,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9,82,4800,23,29
11694,gas,turbo,four,wagon,4wd,front,four,ohcf,mpfi,0,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23
5348,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9,62,4800,35,39
6338,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9,62,4800,31,38
6488,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,1,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9,62,4800,31,38
6918,gas,std,four,wagon,fwd,front,four,ohc,2bbl,0,95.7,169.7,63.6,59.1,2280,92,3.05,3.03,9,62,4800,31,37
7898,gas,std,four,wagon,4wd,front,four,ohc,2bbl,0,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9,62,4800,27,32
8778,gas,std,four,wagon,4wd,front,four,ohc,2bbl,0,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9,62,4800,27,32
6938,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,4800,30,37
7198,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,0,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,4800,30,37
7898,diesel,std,four,sedan,fwd,front,four,ohc,idi,0,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,34,36
7788,diesel,std,four,hatchback,fwd,front,four,ohc,idi,0,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47
7738,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,38,47
8358,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,0,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,28,34
9258,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,28,34
8058,gas,std,two,sedan,rwd,front,four,ohc,2bbl,1,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,29,34
8238,gas,std,two,hatchback,rwd,front,four,ohc,2bbl,1,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,29,34
9298,gas,std,two,sedan,rwd,front,four,dohc,mpfi,1,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29
9538,gas,std,two,hatchback,rwd,front,four,dohc,mpfi,1,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29
8449,gas,std,two,hardtop,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,24,30
9639,gas,std,two,hardtop,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,24,30
9989,gas,std,two,hatchback,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,24,30
11199,gas,std,two,hardtop,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,24,30
11549,gas,std,two,hatchback,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,24,30
17669,gas,std,two,convertible,rwd,front,four,ohc,mpfi,2,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,24,30
8948,gas,std,four,sedan,fwd,front,four,ohc,mpfi,-1,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34
